Calendar,Mandi Modal Price (AgMarknet),WPI_Paddy,MSP_Fixed,USD_INR_Price,Area,Production,Yield
2012-10-14,1383.88,116.6,1250,52.81,5837298.0,14353736.0,2.46
2012-10-15,1135.79,116.6,1250,52.985,5837298.0,14353736.0,2.46
2012-10-16,1124.62,116.6,1250,52.825,5837298.0,14353736.0,2.46
2012-10-17,1100.09,116.6,1250,52.865,5837298.0,14353736.0,2.46
2012-10-18,1111.9,116.6,1250,53.595,5837298.0,14353736.0,2.46
2012-10-19,1121.65,116.6,1250,53.845,5837298.0,14353736.0,2.46
2012-10-20,1102.32,116.6,1250,53.845,5837298.0,14353736.0,2.46
2012-10-21,1418.4,116.6,1250,53.845,5837298.0,14353736.0,2.46
2012-10-22,1082.88,116.6,1250,53.56,5837298.0,14353736.0,2.46
2012-10-23,1121.69,116.6,1250,53.725,5837298.0,14353736.0,2.46
2012-10-24,1130.18,116.6,1250,53.74,5837298.0,14353736.0,2.46
2012-10-25,1186.56,116.6,1250,53.555,5837298.0,14353736.0,2.46
2012-10-26,1158.95,116.6,1250,53.555,5837298.0,14353736.0,2.46
2012-10-27,1105.63,116.6,1250,53.555,5837298.0,14353736.0,2.46
2012-10-28,1320.74,116.6,1250,53.555,5837298.0,14353736.0,2.46
2012-10-29,1106.09,116.6,1250,54.085,5837298.0,14353736.0,2.46
2012-10-30,1073.39,116.6,1250,53.965,5837298.0,14353736.0,2.46
2012-10-31,1094.6,116.6,1250,53.805,5837298.0,14353736.0,2.46
2012-11-01,1141.88,116.3,1250,53.66,5837298.0,14353736.0,2.46
2012-11-02,1116.94,116.3,1250,53.815,5837298.0,14353736.0,2.46
2012-11-03,1139.05,116.3,1250,53.815,5837298.0,14353736.0,2.46
2012-11-04,1315.6,116.3,1250,53.815,5837298.0,14353736.0,2.46
2012-11-05,1466.98,116.3,1250,54.595,5837298.0,14353736.0,2.46
2012-11-06,1152.87,116.3,1250,54.425,5837298.0,14353736.0,2.46
2012-11-07,1141.01,116.3,1250,54.205,5837298.0,14353736.0,2.46
2012-11-08,1171.04,116.3,1250,54.365,5837298.0,14353736.0,2.46
2012-11-09,1157.77,116.3,1250,54.595,5837298.0,14353736.0,2.46
2012-11-10,1127.59,116.3,1250,54.595,5837298.0,14353736.0,2.46
2012-11-11,1243.24,116.3,1250,54.595,5837298.0,14353736.0,2.46
2012-11-12,1165.61,116.3,1250,54.885,5837298.0,14353736.0,2.46
2012-11-13,1103.94,116.3,1250,55.015,5837298.0,14353736.0,2.46
2012-11-14,1088.06,116.3,1250,55.025,5837298.0,14353736.0,2.46
2012-11-15,1119.22,116.3,1250,54.655,5837298.0,14353736.0,2.46
2012-11-16,1299.22,116.3,1250,55.165,5837298.0,14353736.0,2.46
2012-11-17,1218.04,116.3,1250,55.165,5837298.0,14353736.0,2.46
2012-11-18,1510.46,116.3,1250,55.165,5837298.0,14353736.0,2.46
2012-11-19,1180.61,116.3,1250,54.975,5837298.0,14353736.0,2.46
2012-11-20,1197.05,116.3,1250,55.105,5837298.0,14353736.0,2.46
2012-11-21,1094.46,116.3,1250,55.115,5837298.0,14353736.0,2.46
2012-11-22,1193.9,116.3,1250,55.125,5837298.0,14353736.0,2.46
2012-11-23,1240.28,116.3,1250,55.45,5837298.0,14353736.0,2.46
2012-11-24,1198.5,116.3,1250,55.45,5837298.0,14353736.0,2.46
2012-11-25,1565.74,116.3,1250,55.45,5837298.0,14353736.0,2.46
2012-11-26,1199.88,116.3,1250,55.643,5837298.0,14353736.0,2.46
2012-11-27,1193.05,116.3,1250,55.455,5837298.0,14353736.0,2.46
2012-11-28,1117.51,116.3,1250,55.71,5837298.0,14353736.0,2.46
2012-11-29,1175.08,116.3,1250,54.72,5837298.0,14353736.0,2.46
2012-11-30,1202.22,116.3,1250,54.265,5837298.0,14353736.0,2.46
2012-12-01,1158.59,115.9,1250,54.265,5837298.0,14353736.0,2.46
2012-12-02,1308.08,115.9,1250,54.265,5837298.0,14353736.0,2.46
