"State","Crop","Calendar","Mandi Arrival Quantity (AgMarknet) (AgMarknet)","Mandi Modal Price (AgMarknet)"
"Uttar Pradesh","Paddy","23 Sep 2011","844.30","986.93"
"Uttar Pradesh","Paddy","24 Sep 2011","761.30","957.75"
"Uttar Pradesh","Paddy","25 Sep 2011","102.30","1003.77"
"Uttar Pradesh","Paddy","26 Sep 2011","1390.40","968.83"
"Uttar Pradesh","Paddy","27 Sep 2011","343.10","943.16"
"Uttar Pradesh","Paddy","28 Sep 2011","541.50","937.25"
"Uttar Pradesh","Paddy","29 Sep 2011","1360.00","940.00"
"Uttar Pradesh","Paddy","30 Sep 2011","1389.50","909.32"
"Uttar Pradesh","Paddy","01 Oct 2011","2833.90","762.11"
"Uttar Pradesh","Paddy","02 Oct 2011","299.70","1115.94"
"Uttar Pradesh","Paddy","03 Oct 2011","2884.30","919.23"
"Uttar Pradesh","Paddy","04 Oct 2011","4003.60","957.46"
"Uttar Pradesh","Paddy","05 Oct 2011","3232.60","882.00"
"Uttar Pradesh","Paddy","06 Oct 2011","3834.10","893.11"
"Uttar Pradesh","Paddy","07 Oct 2011","6776.90","951.03"
"Uttar Pradesh","Paddy","08 Oct 2011","7684.90","969.57"
"Uttar Pradesh","Paddy","09 Oct 2011","1336.70","1219.78"
"Uttar Pradesh","Paddy","10 Oct 2011","5286.80","953.44"
"Uttar Pradesh","Paddy","11 Oct 2011","5195.80","1011.64"
"Uttar Pradesh","Paddy","12 Oct 2011","5266.60","1031.29"
"Uttar Pradesh","Paddy","13 Oct 2011","7824.10","987.52"
"Uttar Pradesh","Paddy","14 Oct 2011","10915.60","971.94"
"Uttar Pradesh","Paddy","15 Oct 2011","6952.30","1031.05"
"Uttar Pradesh","Paddy","16 Oct 2011","3573.10","1198.34"
"Uttar Pradesh","Paddy","17 Oct 2011","10990.60","973.63"
"Uttar Pradesh","Paddy","18 Oct 2011","8157.30","1019.49"
"Uttar Pradesh","Paddy","19 Oct 2011","10133.00","964.35"
"Uttar Pradesh","Paddy","20 Oct 2011","8713.00","1018.88"
"Uttar Pradesh","Paddy","21 Oct 2011","6285.20","1071.39"
"Uttar Pradesh","Paddy","22 Oct 2011","11048.20","1041.29"
"Uttar Pradesh","Paddy","23 Oct 2011","3406.30","1345.86"
"Uttar Pradesh","Paddy","24 Oct 2011","9848.10","975.00"
"Uttar Pradesh","Paddy","25 Oct 2011","9594.88","1016.03"
"Uttar Pradesh","Paddy","26 Oct 2011","4776.70","934.30"
"Uttar Pradesh","Paddy","27 Oct 2011","2318.30","956.97"
"Uttar Pradesh","Paddy","28 Oct 2011","2313.90","1121.99"
"Uttar Pradesh","Paddy","29 Oct 2011","7027.83","1053.11"
"Uttar Pradesh","Paddy","30 Oct 2011","2232.40","1323.94"
"Uttar Pradesh","Paddy","31 Oct 2011","12180.71","1007.00"
"Uttar Pradesh","Paddy","01 Nov 2011","12140.30","1040.88"
"Uttar Pradesh","Paddy","02 Nov 2011","40466.50","1075.47"
"Uttar Pradesh","Paddy","03 Nov 2011","50174.60","1082.12"
"Uttar Pradesh","Paddy","04 Nov 2011","26052.50","1069.41"
"Uttar Pradesh","Paddy","05 Nov 2011","59905.50","952.84"
"Uttar Pradesh","Paddy","06 Nov 2011","8113.50","1201.45"
"Uttar Pradesh","Paddy","07 Nov 2011","3631980.90","980.14"
"Uttar Pradesh","Paddy","08 Nov 2011","63998.40","963.05"
"Uttar Pradesh","Paddy","09 Nov 2011","72291.02","997.89"
"Uttar Pradesh","Paddy","10 Nov 2011","50554.70","1011.25"
"Uttar Pradesh","Paddy","11 Nov 2011","38588.20","1039.00"
"Uttar Pradesh","Paddy","12 Nov 2011","60315.90","1010.17"
"Uttar Pradesh","Paddy","13 Nov 2011","8800.20","1212.29"
"Uttar Pradesh","Paddy","14 Nov 2011","87013.70","1017.05"
"Uttar Pradesh","Paddy","15 Nov 2011","20873.40","1029.93"
"Uttar Pradesh","Paddy","16 Nov 2011","57260.80","1020.17"
"Uttar Pradesh","Paddy","17 Nov 2011","61846.00","1015.84"
"Uttar Pradesh","Paddy","18 Nov 2011","65195.20","1014.86"
"Uttar Pradesh","Paddy","19 Nov 2011","69652.20","1063.86"
"Uttar Pradesh","Paddy","20 Nov 2011","11773.49","1133.25"
"Uttar Pradesh","Paddy","21 Nov 2011","50968.95","1031.93"
"Uttar Pradesh","Paddy","22 Nov 2011","60971.80","951.02"
"Uttar Pradesh","Paddy","23 Nov 2011","22704.01","1039.18"
"Uttar Pradesh","Paddy","24 Nov 2011","24526.10","1070.56"
"Uttar Pradesh","Paddy","25 Nov 2011","27630.70","1067.61"
"Uttar Pradesh","Paddy","26 Nov 2011","24354.60","1067.98"
"Uttar Pradesh","Paddy","27 Nov 2011","8961.70","1180.19"
"Uttar Pradesh","Paddy","28 Nov 2011","32914.05","1097.56"
"Uttar Pradesh","Paddy","29 Nov 2011","23124.29","1076.44"
"Uttar Pradesh","Paddy","30 Nov 2011","24032.13","1125.46"
"Uttar Pradesh","Paddy","01 Dec 2011","17124.23","1088.95"
"Uttar Pradesh","Paddy","02 Dec 2011","25192.06","1081.85"
